predicted distance,tag transx,tag transy,tag transz,tag rotx,tag roty,tag rotz,tag rotw,home transx,home transy,home transz,home rotx,home roty,home rotz,home rotw
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
0.9139999747,-0.9229934478,0.6247917108,0.7753872512,-0.0001320979,-0.0028011755,-0.0008769902,0.9999956834,-1.8857715255,0.6323880102,0.8495912724,-0.0007324678,-0.0019300558,-0.0089119222,0.9999581571
0.8999999762,-0.9230206696,0.6249995267,0.7754047849,-0.0002670282,-0.0028048488,-0.0009159539,0.9999956113,-1.8857814099,0.632375556,0.8496284654,-0.0005702247,-0.0020855953,-0.008866687,0.9999583526
0.8389999866,-0.9230018149,0.6247216663,0.7753694252,0.0001693083,-0.002811851,-0.0008794306,0.9999956457,-1.8857974119,0.6324141471,0.8496222163,-0.0007574032,-0.0020252727,-0.0088667643,0.9999583517
0.9049999714,-0.9229690084,0.6245332273,0.7753503535,0.0001561234,-0.0027660342,-0.0008413304,0.9999958084,-1.8858145889,0.6324095939,0.8496387455,-0.0006790386,-0.0021339422,-0.0087919923,0.9999588422
0.8389999866,-0.9230060803,0.6247854028,0.775368492,-4.90022729581241E-05,-0.0027354511,-0.0008595433,0.999995888,-1.8857831047,0.6323973339,0.8496076912,-0.0006998192,-0.001940371,-0.0089214211,0.9999580759
0.9240000248,-0.9230168605,0.6250065604,0.7754136446,-0.000281328,-0.0029354816,-0.0007506619,0.9999953701,-1.8857759383,0.6323960874,0.8496014733,-0.0007217281,-0.0019888315,-0.0089402061,0.9999577973
0.8669999838,-0.9229917279,0.6247157249,0.7753921723,-4.93987026289532E-05,-0.0025950805,-0.0009767372,0.9999961545,-1.8857945785,0.6323971119,0.8496446014,-0.0006166467,-0.0021137662,-0.0088521381,0.9999583948
0.8349999785,-0.9229889464,0.624581835,0.7753642434,0.0001116688,-0.0027837876,-0.0007766589,0.9999958174,-1.8857812104,0.6324083882,0.8496167619,-0.000779837,-0.0020161759,-0.0088670966,0.9999583499
0.8489999771,-0.9230091271,0.6248091711,0.7753600022,-8.91333427471339E-05,-0.0026482307,-0.0009988625,0.9999959906,-1.885795549,0.6324136634,0.8496062633,-0.0008308741,-0.0020139834,-0.0088394288,0.9999585582
0.8999999762,-0.9230176896,0.6249468474,0.7754119199,-0.000229302,-0.0028103883,-0.0009153529,0.9999956056,-1.8857905549,0.6323994499,0.8496399794,-0.000683001,-0.0020159517,-0.0088345328,0.9999587094
0.8999999762,-0.9229836914,0.6247051546,0.7754133497,-5.53777072013383E-05,-0.0027500886,-0.0009476252,0.999995768,-1.8857841115,0.6323630085,0.8496448679,-0.0004419186,-0.0020654267,-0.0088773614,0.9999583647
0.8909999728,-0.9229892787,0.6246255594,0.7753642662,0.000083296,-0.0027545665,-0.0008269724,0.9999958608,-1.8857904294,0.6323901013,0.8495992933,-0.000644824,-0.0020767161,-0.0089250553,0.9999578065
0.8859999776,-0.9230048501,0.6248036904,0.77539656,-5.43592590416866E-05,-0.0029144417,-0.0007934177,0.9999954368,-1.8857790828,0.6323934556,0.8496182533,-0.0007294088,-0.0020284177,-0.0088838837,0.9999582142
