actual dist,angle,var

0.25-0.5,0.0-0.2,0.00196315691425
0.25-0.5,0.2-0.4,0.00262594486322
0.25-0.5,0.4-0.6,0.00256596662617
0.25-0.5,0.6-0.8,0.00194249304904
0.25-0.5,0.8-1.0,0.00155650659803
0.25-0.5,1.2-1.4,0.00159622928387
0.25-0.5,1.4-1.6,0.00101979597983
0.25-0.5,1.4-1.6,0.00182507114221
0.25-0.5,1.2-1.4,0.00206236738411
0.25-0.5,1.2-1.4,0.00198440566847
0.25-0.5,1.0-1.2,0.00108767172609
0.25-0.5,0.8-1.0,0.00187648879627
0.25-0.5,0.8-1.0,0.000954039785123
0.25-0.5,0.6-0.8,0.000684877306746
0.25-0.5,0.6-0.8,0.000673395344596
0.25-0.5,0.4-0.6,0.00126434232593
0.25-0.5,0.0-0.2,0.00206526659738
0.25-0.5,0.0-0.2,0.00234625418105
0.25-0.5,0.0-0.2,0.00125853472707
0.25-0.5,0.2-0.4,0.0012409495121
0.25-0.5,0.4-0.6,0.00152132780854
0.25-0.5,0.6-0.8,0.0017143851132
0.25-0.5,0.8-1.0,0.000914222181409
0.25-0.5,1.0-1.2,0.00080325396491
0.25-0.5,1.2-1.4,0.000656162031969
0.25-0.5,1.4-1.6,0.000523649517447
0.25-0.5,1.2-1.4,0.00202534721485
0.25-0.5,1.2-1.4,0.00249111644157
0.25-0.5,1.0-1.2,0.00087187765714
0.25-0.5,0.6-0.8,0.00305832660888
0.25-0.5,0.6-0.8,0.0036989985017
0.25-0.5,0.4-0.6,0.00197527966485
0.25-0.5,0.0-0.2,0.00151971093018
0.25-0.5,0.0-0.2,0.00242390199533
2.25-2.5,0.0-0.2,0.000380744677985
2.25-2.5,0.0-0.2,0.00057127464477
2.25-2.5,0.2-0.4,0.000363043048051
2.25-2.5,0.4-0.6,0.000928670259606
2.25-2.5,0.4-0.6,0.00121303457773
2.25-2.5,0.6-0.8,0.00143734416143
2.25-2.5,0.8-1.0,0.000375559084892
2.25-2.5,0.8-1.0,0.000370629167668
2.25-2.5,1.0-1.2,0.000324905908232
2.25-2.5,1.0-1.2,0.000637684607765
2.25-2.5,1.2-1.4,0.000380104220297
2.25-2.5,1.2-1.4,0.00026440768592
2.25-2.5,1.4-1.6,0.000347958950959
2.25-2.5,1.4-1.6,0.000248489576927
2.25-2.5,1.4-1.6,0.000364965249074
2.25-2.5,1.4-1.6,0.00120520812408
2.25-2.5,1.2-1.4,0.00106022672626
2.25-2.5,1.0-1.2,0.0011547761139
2.25-2.5,1.0-1.2,0.000761199582262
2.25-2.5,0.8-1.0,0.000770650556862
2.25-2.5,0.8-1.0,0.00125582788155
2.25-2.5,0.6-0.8,0.000775549984619
2.25-2.5,0.6-0.8,0.000733203445038
2.25-2.5,0.4-0.6,0.000765377024181
2.25-2.5,0.4-0.6,0.00036830801122
2.25-2.5,0.2-0.4,0.00034384690667
2.25-2.5,0.2-0.4,0.000710713160842
2.25-2.5,0.2-0.4,0.0008649381459
2.25-2.5,0.0-0.2,0.000961730936058
2.25-2.5,0.0-0.2,0.000857676198787
2.25-2.5,0.0-0.2,0.00115523512422
2.25-2.5,0.0-0.2,0.000880891514502
2.25-2.5,0.0-0.2,0.00107934424549
2.25-2.5,0.0-0.2,0.00135869813023
2.25-2.5,0.2-0.4,0.000864919916995
2.25-2.5,0.2-0.4,0.000801950603415
2.25-2.5,0.4-0.6,0.00109514257795
2.25-2.5,0.4-0.6,0.0010245995912
2.25-2.5,0.6-0.8,0.00102221680952
2.25-2.5,0.6-0.8,0.00107341708236
2.25-2.5,0.8-1.0,0.00108903573386
2.25-2.5,1.0-1.2,0.000513404816612
2.25-2.5,1.0-1.2,0.000733456362484
2.25-2.5,1.2-1.4,0.00117910186103
2.25-2.5,1.2-1.4,0.00135791923727
2.25-2.5,1.2-1.4,0.00105946892623
2.25-2.5,1.4-1.6,0.000503612807527
2.25-2.5,1.4-1.6,0.000967963617846
2.25-2.5,1.4-1.6,0.00101244104439
2.25-2.5,1.2-1.4,0.000719998129464
2.25-2.5,1.2-1.4,0.000959630240382
2.25-2.5,1.0-1.2,0.000770895222233
2.25-2.5,1.0-1.2,0.00061476240467
2.25-2.5,0.8-1.0,0.000457347738865
2.25-2.5,0.8-1.0,0.000501263975558
2.25-2.5,0.6-0.8,0.000562775742748
2.25-2.5,0.6-0.8,0.000272857011681
2.25-2.5,0.6-0.8,0.00135546962756
